food,merge
"Beans, Dry, Pinto, 371 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 372 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 373 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 377 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 381 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 382 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 383 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 388 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 389 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 390 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 391 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 393 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 394 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 397 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 398 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 408 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 410 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 413 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 414 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 416 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 420 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 421 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 425 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 426 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 427 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 428 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 432 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 435 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 436 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 437 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 440 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 442 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 450 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 451 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 452 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 454 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 455 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 456 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 459 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 462 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 463 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 464 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 465 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 466 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 468 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 469 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 475 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 479 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 480 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 482 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 484 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 489 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 492 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 494 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 496 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 497 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 498 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 499 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 503 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 506 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 510 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 511 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 512 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 513 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 515 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 516 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 517 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 520 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 563 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 591 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 621 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 630 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 631 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 632 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 633 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 634 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 639 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 640 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 642 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 643 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 647 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 650 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 653 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 657 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 659 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 660 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 661 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 663 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 665 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 667 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 668 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 669 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 671 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 676 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 677 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 678 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 681 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 682 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 684 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 686 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 691 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 692 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 695 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 696 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 700 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 702 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 704 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 705 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 708 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 709 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 710 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 711 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 714 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 715 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 717 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 718 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 720 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 724 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 727 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 728 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 729 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 733 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 734 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 735 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 736 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 738 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 740 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 743 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 744 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 747 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 749 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 751 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 754 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 758 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 761 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 764 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 765 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 770 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 773 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 775 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 776 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 781 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 782 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 783 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 784 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 787 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 791 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 793 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 795 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 801 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 802 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 805 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 807 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 808 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 809 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 810 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 812 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 814 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 815 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 816 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 820 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 821 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Pinto, 825 (0% moisture)","Beans, Dry, Pinto"
"Beans, Dry, Red (0% moisture)","Beans, Dry, Red"
"Beans, Dry, Red, 345 (0% moisture)","Beans, Dry, Red"
"Beans, Dry, Red, 645 (0% moisture)","Beans, Dry, Red"
"Beans, Dry, Small Red (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8009 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8011 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8014 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8017 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8021 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8033 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8050 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8056 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8073 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8111 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8115 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8137 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8142 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8153 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8154 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8161 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8169 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 11F-8199 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 240 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 323 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 330 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 332 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 344 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 347 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 357 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 369 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 370 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 374 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 376 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 400 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 403 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 405 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 409 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 417 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 419 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 431 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 439 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 470 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 471 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 473 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 487 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 488 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 491 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 493 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 500 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 505 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 508 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 509 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 606 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 635 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 646 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 649 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 670 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 673 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 674 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 685 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 690 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 698 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 703 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 722 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 731 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 746 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 755 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 757 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 759 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 760 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 769 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 772 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 774 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 785 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 786 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 797 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 798 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 799 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 804 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 806 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 811 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small Red, 813 (0% moisture)","Beans, Dry, Small Red"
"Beans, Dry, Small White (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 11F-8057 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 11F-8160 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 239 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 265 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 272 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 275 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 285 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 309 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 527 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 544 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 549 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 564 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 571 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Small White, 618 (0% moisture)","Beans, Dry, Small White"
"Beans, Dry, Tan (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 11F-8005 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 11F-8042 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 11F-8148 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 11F-8175 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 231 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 302 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 540 (0% moisture)","Beans, Dry, Tan"
"Beans, Dry, Tan, 577 (0% moisture)","Beans, Dry, Tan"
"Beans, adzuki, mature seeds, canned, sweetened",
"Beans, adzuki, mature seeds, cooked, boiled",
"Beans, adzuki, mature seeds, raw",
"Beans, baked, canned, no salt added",
"Beans, baked, canned, plain or vegetarian",
"Beans, baked, canned, with franks",
"Beans, baked, canned, with pork",
"Beans, baked, canned, with pork and sweet sauce",
"Beans, baked, canned, with pork and tomato sauce",
"Beans, baked, home prepared",
"Beans, black turtle, mature seeds, canned",
"Beans, black turtle, mature seeds, cooked, boiled",
"Beans, black turtle, mature seeds, raw",
"Beans, black, canned, sodium added",
"Beans, black, canned, sodium added, drained and rinsed",
"Beans, black, mature seeds, canned, low sodium",
"Beans, black, mature seeds, cooked, boiled",
"Beans, black, mature seeds, raw",
"Beans, blackeye pea, canned, sodium added",
"Beans, cannellini, canned, sodium added",
"Beans, cannellini, canned, sodium added, drained and rinsed",
"Beans, cannellini, dry",
"Beans, chick peas/garbanzos, canned, sodium added",
"Beans, chickpeas/garbanzos, dry",
"Beans, chili, barbecue, ranch style, cooked",
"Beans, cranberry (roman), mature seeds, canned",
"Beans, cranberry (roman), mature seeds, cooked, boiled",
"Beans, cranberry (roman), mature seeds, raw",
"Beans, fava, in pod, raw",
"Beans, french, mature seeds, cooked, boiled",
"Beans, french, mature seeds, raw",
"Beans, great northern, canned, sodium added",
"Beans, great northern, canned, sodium added, drained and rinsed",
"Beans, great northern, mature seeds, canned",
"Beans, great northern, mature seeds, canned, low sodium",
"Beans, great northern, mature seeds, cooked, boiled",
"Beans, kidney, all types, mature seeds, canned",
"Beans, kidney, all types, mature seeds, cooked, boiled",
"Beans, kidney, all types, mature seeds, raw",
"Beans, kidney, california red, mature seeds, cooked, boiled",
"Beans, kidney, california red, mature seeds, raw",
"Beans, kidney, dark red, canned, sodium added, sugar added",
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",
"Beans, kidney, light red, canned, sodium added, sugar added",
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",
"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained",
"Beans, kidney, mature seeds, sprouted, raw",
"Beans, kidney, red, mature seeds, canned, drained solids",
"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",
"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",
"Beans, kidney, red, mature seeds, canned, solids and liquids",
"Beans, kidney, red, mature seeds, cooked, boiled",
"Beans, kidney, red, mature seeds, raw",
"Beans, kidney, royal red, mature seeds, cooked, boiled",
"Beans, kidney, royal red, mature seeds, raw",
"Beans, liquid from stewed kidney beans",
"Beans, mung, mature seeds, sprouted, canned, drained solids",
"Beans, navy, canned, sodium added",
"Beans, navy, canned, sodium added, drained and rinsed",
"Beans, navy, mature seeds, canned",
"Beans, navy, mature seeds, cooked, boiled",
"Beans, navy, mature seeds, raw",
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained",
"Beans, navy, mature seeds, sprouted, raw",
"Beans, pink, mature seeds, cooked, boiled",
"Beans, pink, mature seeds, raw",
"Beans, pinto, canned, drained solids",
"Beans, pinto, canned, sodium added",
"Beans, pinto, canned, sodium added, drained and rinsed",
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained",
"Beans, pinto, immature seeds, frozen, unprepared",
"Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water",
"Beans, pinto, mature seeds, canned, solids and liquids",
"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",
"Beans, pinto, mature seeds, cooked, boiled",
"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained",
"Beans, pinto, mature seeds, sprouted, raw",
"Beans, shellie, canned, solids and liquids",
"Beans, small white, mature seeds, cooked, boiled",
"Beans, small white, mature seeds, raw",
"Beans, snap, canned, all styles, seasoned, solids and liquids",
"Beans, snap, green, canned, no salt added, drained solids",
"Beans, snap, green, canned, no salt added, solids and liquids",
"Beans, snap, green, canned, regular pack, drained solids",
"Beans, snap, green, canned, regular pack, solids and liquids",
"Beans, snap, green, cooked, boiled, drained",
"Beans, snap, green, frozen, all styles, microwaved",
"Beans, snap, green, frozen, cooked, boiled, drained",
"Beans, snap, green, microwaved",
"Beans, snap, green, raw",
"Beans, snap, yellow, canned, no salt added, drained solids",
"Beans, snap, yellow, canned, no salt added, solids and liquids",
"Beans, snap, yellow, canned, regular pack, drained solids",
"Beans, snap, yellow, canned, regular pack, solids and liquids",
"Beans, snap, yellow, cooked, boiled, drained",
"Beans, snap, yellow, frozen, all styles, unprepared",
"Beans, snap, yellow, frozen, cooked, boiled, drained",
"Beans, snap, yellow, raw",
"Beans, white, mature seeds, canned",
"Beans, white, mature seeds, cooked, boiled",
"Beans, white, mature seeds, raw",
"Beans, yellow, mature seeds, cooked, boiled",
"Beans, yellow, mature seeds, raw",
"Beet greens, cooked, boiled, drained",
"Beet greens, raw",
"Beets, canned, drained solids",
"Beets, canned, no salt added, solids and liquids",
"Beets, canned, regular pack, solids and liquids",
"Beets, cooked, boiled, drained",
"Beets, cooked, boiled. drained, with salt",
"Beets, harvard, canned, solids and liquids",
"Beets, pickled, canned, solids and liquids",
"Beets, raw",
"Beverage, instant breakfast powder, chocolate, not reconstituted",
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",
"Beverages,  Energy drink, Citrus",
"Beverages, Acai berry drink, fortified",
"Beverages, Apple juice drink, light, fortified with vitamin C",
"Beverages, Carob-flavor beverage mix, powder",
"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",
"Beverages, Chocolate-flavored drink, whey and milk based",
"Beverages, Clam and tomato juice, canned",
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",
"Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A",
"Beverages, Cocoa mix, no sugar added, powder",
"Beverages, Cocoa mix, powder",
"Beverages, Cocoa mix, powder, prepared with water",
"Beverages, Coconut water, ready-to-drink, unsweetened",
"Beverages, Cranberry juice cocktail",
"Beverages, Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder",
"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",
"Beverages, Energy Drink with carbonated water and high fructose corn syrup",
"Beverages, Energy Drink, Monster, fortified with vitamins C, B2, B3, B6, B12",
"Beverages, Energy Drink, sugar free",
"Beverages, Fruit flavored drink containing less than 3% fruit juice, with high vitamin C",
"Beverages, Fruit flavored drink, less than 3% juice, not fortified with vitamin C",
"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",
"Beverages, Fruit punch drink, frozen concentrate",
"Beverages, Fruit punch drink, frozen concentrate, prepared with water",
"Beverages, Fruit punch drink, with added nutrients, canned",
"Beverages, Horchata, as served in restaurant",
"Beverages, Kiwi Strawberry Juice Drink",
"Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C",
"Beverages, Lemonade, powder",
"Beverages, Malt liquor beverage",
