food,merge
"Cowpeas (blackeyes), immature seeds, frozen, unprepared",
"Cowpeas (blackeyes), immature seeds, raw",
"Cowpeas, catjang, mature seeds, cooked, boiled",
"Cowpeas, catjang, mature seeds, raw",
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned with pork",
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned, plain",
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled",
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",
"Cowpeas, leafy tips, cooked, boiled, drained",
"Cowpeas, leafy tips, raw",
"Cowpeas, young pods with seeds, cooked, boiled, drained",
"Cowpeas, young pods with seeds, raw",
"Crabapples, raw",
"Cranberries, raw",
"Cranberries, wild, bush, raw (Alaska Native)",
"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",
"Cranberry juice cocktail, bottled",
"Cranberry juice cocktail, bottled, low calorie, with calcium, saccharin and corn sweetener",
"Cranberry juice cocktail, frozen concentrate",
"Cranberry juice cocktail, frozen concentrate, prepared with water",
"Cranberry juice, not fortified, from concentrate, shelf stable",
"Cranberry juice, unsweetened",
"Cranberry sauce, canned, sweetened",
"Cranberry, low bush or lingenberry, raw (Alaska Native)",
"Cranberry-orange relish, canned",
"Cream cheese, block, full fat",
"Cream cheese, full fat, block",
"Cream substitute, flavored, liquid",
"Cream substitute, flavored, powdered",
"Cream substitute, liquid, light",
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",
"Cream substitute, powdered",
"Cream substitute, powdered, light",
"Cream, fluid, half and half",
"Cream, fluid, heavy whipping",
"Cream, fluid, light (coffee cream or table cream)",
"Cream, fluid, light whipping",
"Cream, half and half, fat free",
"Cream, half and half, lowfat",
"Cream, heavy",
"Cream, sour, cultured",
"Cream, sour, full fat",
"Cream, sour, reduced fat, cultured",
"Cream, whipped, cream topping, pressurized",
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",
"Cress, garden, cooked, boiled, drained",
"Cress, garden, raw",
"Cucumber, peeled, raw",
"Cucumber, with peel, raw",
"Cucumber, with skin, raw",
"Currants, european black, raw",
"Currants, red and white, raw",
"Currants, zante, dried",
"Custard-apple, (bullock's-heart), raw",
"Dandelion greens, cooked, boiled, drained",
"Dandelion greens, raw",
"Dates, deglet noor",
"Dates, medjool",
"Dessert topping, powdered",
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",
"Dessert topping, pressurized",
"Dessert topping, semi solid, frozen",
"Dill weed, fresh",
"Dip, bean, original flavor",
"Dip, salsa con queso, cheese and salsa- medium",
"Dock, cooked, boiled, drained",
"Dock, raw",
"Dressing, honey mustard, fat-free",
"Drumstick leaves, cooked, boiled, drained",
"Drumstick leaves, raw",
"Drumstick pods, cooked, boiled, drained",
"Drumstick pods, raw",
Dulce de Leche,
"Dumpling, potato- or cheese-filled, frozen",
"Durian, raw or frozen",
"Edamame, frozen, prepared",
"Edamame, frozen, unprepared",
"Egg rolls, pork, refrigerated, heated",
"Egg rolls, vegetable, frozen, prepared",
"Egg substitute, liquid or frozen, fat free",
"Egg substitute, powder",
Egg whites,
"Egg whites, dried",
Egg yolk,
"Egg yolks, dried",
"Egg, duck, whole, fresh, raw",
"Egg, goose, whole, fresh, raw",
"Egg, quail, whole, fresh, raw",
"Egg, white, dried",
"Egg, white, dried, flakes, stabilized, glucose reduced",
"Egg, white, dried, powder, stabilized, glucose reduced",
"Egg, white, dried, stabilized, glucose reduced",
"Egg, white, raw, fresh",
"Egg, white, raw, frozen, pasteurized",
"Egg, whole, cooked, fried",
"Egg, whole, cooked, hard-boiled",
"Egg, whole, cooked, omelet",
"Egg, whole, cooked, poached",
"Egg, whole, cooked, scrambled",
"Egg, whole, dried",
"Egg, whole, dried, stabilized, glucose reduced",
"Egg, whole, raw, fresh",
"Egg, whole, raw, frozen, pasteurized",
"Egg, whole, raw, frozen, salted, pasteurized",
"Egg, yolk, dried",
"Egg, yolk, raw, fresh",
"Egg, yolk, raw, frozen, pasteurized",
"Egg, yolk, raw, frozen, salted, pasteurized",
"Egg, yolk, raw, frozen, sugared, pasteurized",
Eggnog,
"Eggplant, Italian, raw",
"Eggplant, cooked, boiled, drained",
"Eggplant, pickled",
"Eggplant, raw",
"Eggs, Grade A, Large, egg white",
"Eggs, Grade A, Large, egg whole",
"Eggs, Grade A, Large, egg yolk",
"Eggs, scrambled, frozen mixture",
"Eggs, whites",
"Eggs, whole",
"Eggs, yolk",
Eggs; whites,
Eggs; whole,
Eggs; yolk,
"Einkorn, grain, dry, raw",
"Einkorn, grain, wheat berry, dry, raw",
"Elderberries, raw",
"Endive, raw",
"Epazote, raw",
"Eppaw, raw",
"Escarole, cooked, boiled, drained, no salt added",
"Falafel, home-prepared",
"Farro, pearled, dry, raw",
"Fat free ice cream, no sugar added, flavors other than chocolate",
"Fat, goose",
"Feijoa, raw",
"Fennel, bulb, raw",
"Fiddlehead ferns, frozen, unprepared",
"Fiddlehead ferns, raw",
"Figs, canned, extra heavy syrup pack, solids and liquids",
"Figs, canned, heavy syrup pack, solids and liquids",
"Figs, canned, light syrup pack, solids and liquids",
"Figs, canned, water pack, solids and liquids",
"Figs, dried, stewed",
"Figs, dried, uncooked",
"Figs, raw",
"Fireweed, leaves, raw",
"Fireweed, young leaves, raw (Alaska Native)",
"Flaxseed, ground",
"Flour, 00",
"Flour, Rice, White (unenriched)",
"Flour, Rice, White(unenriched)",
"Flour, Semolina, Coarse",
"Flour, Semolina, Semi-Coarse",
"Flour, all-purpose, enriched",
"Flour, all-purpose, unenriched",
"Flour, almond",
"Flour, almond, blanched",
"Flour, amaranth",
"Flour, barley",
"Flour, bread, white, enriched",
"Flour, bread, white, enriched, unbleached",
"Flour, buckwheat",
"Flour, cassava",
"Flour, chestnut",
"Flour, coconut",
"Flour, corn, enriched",
"Flour, corn, yellow, fine meal, enriched",
"Flour, oat, whole grain",
"Flour, pastry, unenriched, unbleached",
"Flour, potato",
"Flour, quinoa",
"Flour, rice, brown",
"Flour, rice, glutinous",
"Flour, rice, white, unenriched",
"Flour, rye",
"Flour, semolina, coarse and semi-coarse",
"Flour, semolina, fine",
"Flour, sorghum",
"Flour, soy, defatted",
"Flour, soy, full-fat",
"Flour, spelt, whole grain",
"Flour, wheat, all-purpose, enriched, bleached",
"Flour, wheat, all-purpose, enriched, unbleached",
"Flour, wheat, all-purpose, unenriched, unbleached",
"Flour, whole grain oat",
"Flour, whole wheat, unenriched",
"Fonio, grain, dry, raw",
"Formulated bar, high fiber, chewy, oats and chocolate",
Fresco (solid),
"Frijoles rojos volteados (Refried beans, red, canned)",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",
"Fruit cocktail, canned, heavy syrup, drained",
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",
"Frybread, made with lard (Apache)",
"Frybread, made with lard (Navajo)",
"Fungi, Cloud ears, dried",
"Garlic, raw",
"Ginger root, pickled, canned, with artificial sweetener",
"Ginger root, raw",
"Goji berries, dried",
"Gooseberries, canned, light syrup pack, solids and liquids",
"Gooseberries, raw",
"Gourd, dishcloth (towelgourd), cooked, boiled, drained",
"Gourd, dishcloth (towelgourd), raw",
"Gourd, white-flowered (calabash), cooked, boiled, drained",
"Gourd, white-flowered (calabash), raw",
"Granola bar, soft, milk chocolate coated, peanut butter",
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",
"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",
"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",
"Grape leaves, canned",
"Grape leaves, raw",
Grapefruit juice white shelf stable,
"Grapefruit juice, pink or red, with added calcium",
"Grapefruit juice, pink, raw",
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",
"Grapefruit juice, white, canned or bottled, unsweetened",
"Grapefruit juice, white, canned, sweetened",
"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",
"Grapefruit juice, white, raw",
"Grapefruit, raw, pink and red and white, all areas",
"Grapefruit, raw, pink and red, California and Arizona",
"Grapefruit, raw, pink and red, Florida",
"Grapefruit, raw, pink and red, all areas",
"Grapefruit, raw, white, California",
"Grapefruit, raw, white, Florida",
"Grapefruit, raw, white, all areas",
"Grapefruit, sections, canned, juice pack, solids and liquids",
"Grapefruit, sections, canned, light syrup pack, solids and liquids",
"Grapefruit, sections, canned, water pack, solids and liquids",
"Grapes, american type (slip skin), raw",
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",
"Grapes, canned, thompson seedless, water pack, solids and liquids",
"Grapes, green, seedless, fresh, raw",
"Grapes, green, seedless, raw",
"Grapes, muscadine, raw",
"Grapes, red or green (European type, such as Thompson seedless), raw",
"Grapes, red, seedless, fresh, raw",
"Grapes, red, seedless, raw",
"Gravy, au jus, canned",
"Gravy, au jus, dry",
"Gravy, brown instant, dry",
"Gravy, brown, dry",
"Gravy, mushroom, canned",
"Gravy, mushroom, dry, powder",
"Gravy, onion, dry, mix",
"Gravy, pork, dry, powder",
"Gravy, unspecified type, dry",
"Green beans, raw",
"Green onion, (scallion), bulb and greens, root removed, raw",
Ground flaxseed meal,
"Groundcherries, (cape-gooseberries or poha), raw",
"Guanabana nectar, canned",
"Guava nectar, canned, with added ascorbic acid",
"Guava nectar, with sucralose, canned",
"Guava sauce, cooked",
"Guavas, common, raw",
"Guavas, strawberry, raw",
"Hazelnuts, beaked (Northern Plains Indians)",
"Hazelnuts, raw",
"Hearts of palm, canned",
"Hearts of palm, raw",
Heavy cream,
"Hominy, canned, white",
"Hominy, canned, yellow",
Horned melon (Kiwano),
"Horseradish, prepared",
"Huckleberries, raw (Alaska Native)",
Hummus,
"Hummus, commercial",
"Hummus, home prepared",
"Hyacinth beans, mature seeds, cooked, boiled",
"Hyacinth beans, mature seeds, raw",
"Hyacinth-beans, immature seeds, cooked, boiled, drained",
"Hyacinth-beans, immature seeds, raw",
"Ice cream bar, covered with chocolate and nuts",
"Ice cream bar, stick or nugget, with crunch coating",
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",
Ice cream cookie sandwich,
Ice cream sandwich,
"Ice cream sandwich, made with light ice cream, vanilla",
"Ice cream sandwich, vanilla, light, no sugar added",
Ice cream sundae cone,
"Ice cream, bar or stick, chocolate covered",
"Ice cream, light, soft serve, chocolate",
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",
"Ice cream, soft serve, chocolate",
"Imitation cheese, american or cheddar, low cholesterol",
"Incaparina, dry mix (corn and soy flours), unprepared",
"Jackfruit, canned, syrup pack",
"Jackfruit, raw",
"Java-plum, (jambolan), raw",
"Jerusalem-artichokes, raw",
"Jew's ear, (pepeao), raw",
"Juice, apple and grape blend, with added ascorbic acid",
"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",
"Juice, pomegranate, from concentrate, shelf-stable",
"Juice, prune, from concentrate, shelf-stable",
"Juice, prune, shelf-stable",
"Juice, prune, water extract of dried prunes, from concentrate, shelf-stable",
"Juice, prune, water extract of dried prunes, shelf-stable",
"Juice, tart cherry, from concentrate, shelf-stable",
"Jujube, Chinese, fresh, dried",
"Jujube, raw",
"Jute, potherb, cooked, boiled, drained",
"Jute, potherb, raw",
Kale,
"Kale, cooked, boiled, drained",
"Kale, frozen, cooked, boiled, drained",
"Kale, frozen, cooked, boiled, drained, without salt",
"Kale, frozen, unprepared",
"Kale, raw",
"Kanpyo, (dried gourd strips)",
Ketchup,
"Ketchup, restaurant",
"Khorasan, grain, dry, raw",
"Khorasan, grain, wheat berry, dry, raw",
"Kiwi, Raw, Region 1, n/a, Yes, Carotenoid",
"Kiwi, Raw, Region 2, n/a, Yes, Carotenoid",
"Kiwi, Raw, Region 3, n/a, Yes, Carotenoid",
"Kiwi, Raw, Region 4, n/a, Yes, Carotenoid",
"Kiwifruit (kiwi), green, peeled, raw",
"Kiwifruit, green, raw",
"Kohlrabi, cooked, boiled, drained",
"Kohlrabi, raw",
"Kumquats, raw",
"Lambsquarters, cooked, boiled, drained",
"Lambsquarters, raw",
"Lambsquarters, raw (Northern Plains Indians)",
"Lambsquarters, steamed (Northern Plains Indians)",
Lard,
"Lasagna, Vegetable, frozen, baked",
"Lasagna, cheese, frozen, prepared",
"Lasagna, cheese, frozen, unprepared",
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained",
"Leeks, (bulb and lower leaf-portion), raw",
"Leeks, (bulb and lower-leaf portion), freeze-dried",
"Leeks, bulb and greens, root removed, raw",
"Lemon grass (citronella), raw",
"Lemon juice from concentrate, canned or bottled",
"Lemon juice, raw",
"Lemon peel, raw",
"Lemonade, frozen concentrate, pink",
"Lemonade, frozen concentrate, white",
"Lemonade, frozen concentrate, white, prepared with water",
"Lemonade, powder, prepared with water",
"Lemons, raw, without peel",
"Lentils, brown, dry",
"Lentils, dry",
"Lentils, mature seeds, cooked, boiled",
"Lentils, pink or red, raw",
"Lentils, raw",
"Lentils, sprouted, cooked, stir-fried",
"Lentils, sprouted, raw",
"Lettuce, butterhead (includes boston and bibb types), raw",
"Lettuce, cos or romaine, raw",
"Lettuce, green leaf, raw",
"Lettuce, iceberg (includes crisphead types), raw",
"Lettuce, iceberg, raw",
"Lettuce, leaf, green, raw",
"Lettuce, leaf, red, raw",
"Lettuce, red leaf, raw",
"Lettuce, romaine, green, raw",
"Light ice cream, Creamsicle",
"Lima beans, immature seeds, canned, no salt added, solids and liquids",
"Lima beans, immature seeds, canned, regular pack, solids and liquids",
"Lima beans, immature seeds, cooked, boiled, drained",
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained",
"Lima beans, immature seeds, frozen, baby, unprepared",
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained",
"Lima beans, immature seeds, frozen, fordhook, unprepared",
"Lima beans, immature seeds, raw",
"Lima beans, large, mature seeds, canned",
"Lima beans, large, mature seeds, cooked, boiled",
"Lima beans, large, mature seeds, raw",
"Lima beans, thin seeded (baby), mature seeds, cooked, boiled",
"Lima beans, thin seeded (baby), mature seeds, raw",
"Lime juice, canned or bottled, unsweetened",
"Lime juice, raw",
"Limeade, frozen concentrate, prepared with water",
"Limes, raw",
"Litchis, dried",
"Litchis, raw",
"Loganberries, frozen",
"Longans, dried",
"Longans, raw",
"Loquats, raw",
"Lotus root, cooked, boiled, drained",
"Lotus root, raw",
"Lupins, mature seeds, cooked, boiled",
"Lupins, mature seeds, raw",
"Macadamia nuts, raw",
"Macaroni and Cheese, canned entree",
"Macaroni and Cheese, canned, microwavable",
"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",
"Macaroni and cheese, box mix with cheese sauce, prepared",
"Macaroni and cheese, box mix with cheese sauce, unprepared",
"Macaroni and cheese, dry mix, prepared with 2% milk and 80% stick margarine from dry mix",
"Macaroni and cheese, frozen entree",
"Macaroni or noodles with cheese, made from reduced fat packaged mix, unprepared",
"Macaroni or noodles with cheese, microwaveable, unprepared",
"Macaroni, vegetable, enriched, cooked",
"Macaroni, vegetable, enriched, dry",
"Malabar spinach, cooked",
"Malt beverage, includes non-alcoholic beer",
"Mammy-apple, (mamey), raw",
"Mandarin, seedless, peeled, raw",
"Mango nectar, canned",
"Mango, Ataulfo, peeled, pit removed, raw",
"Mango, Ataulfo, peeled, raw",
"Mango, Tommy Atkins, peeled, pit removed, raw",
"Mango, Tommy Atkins, peeled, raw",
"Mango, dried, sweetened",
"Mangos, raw",
"Mangosteen, canned, syrup pack",
"Maraschino cherries, canned, drained",
"Margarine Spread, 40-49% fat, tub",
"Margarine, 80% fat, stick, includes regular and hydrogenated corn and soybean oils",
"Margarine, industrial, non-dairy, cottonseed, soy oil (partially hydrogenated ), for flaky pastries",
"Margarine, industrial, soy and partially hydrogenated soy oil, use for baking, sauces and candy",
"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub",
"Margarine, margarine-type vegetable oil spread, 70% fat, soybean and partially hydrogenated soybean, stick",
"Margarine, regular, 80% fat, composite, stick",
"Margarine, regular, 80% fat, composite, stick, with added vitamin D",
"Margarine, regular, 80% fat, composite, tub",
"Margarine, regular, 80% fat, composite, tub, with salt, with added vitamin D",
"Margarine, regular, hard, soybean (hydrogenated)",
"Margarine,spread, 35-39% fat, tub",
"Margarine-like shortening, industrial, soy (partially hydrogenated), cottonseed, and soy, principal use flaky pastries",
"Margarine-like spread with yogurt, 70% fat, stick, with salt",
"Margarine-like spread with yogurt, approximately 40% fat, tub, with salt",
"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin D",
"Margarine-like, butter-margarine blend, 80% fat, stick, without salt",
"Margarine-like, margarine-butter blend, soybean oil and butter",
"Margarine-like, vegetable oil spread, 20% fat",
"Margarine-like, vegetable oil spread, 60% fat, stick, with salt",
"Margarine-like, vegetable oil spread, 60% fat, stick, with salt, with added vitamin D",
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle",
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt, with added vitamin D",
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",
"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",
"Margarine-like, vegetable oil spread, fat free, liquid, with salt",
"Margarine-like, vegetable oil spread, fat-free, tub",
"Margarine-like, vegetable oil spread, stick or tub, sweetened",
"Margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt",
"Margarine-like, vegetable oil-butter spread, tub, with salt",
"Mashu roots, raw (Alaska Native)",
"Mayonnaise dressing, no cholesterol",
"Mayonnaise, low sodium, low calorie or diet",
"Mayonnaise, made with tofu",
"Mayonnaise, reduced fat, with olive oil",
"Mayonnaise, reduced-calorie or diet, cholesterol-free",
"Melon balls, frozen",
"Melon, banana (Navajo)",
"Melons, cantaloupe, raw",
"Melons, casaba, raw",
"Melons, honeydew, flesh only, raw",
"Melons, honeydew, raw",
Milk and cereal bar,
"Milk dessert bar, frozen, made from lowfat milk",
"Milk shakes, thick chocolate",
"Milk shakes, thick vanilla",
"Milk substitutes, fluid, with lauric acid oil",
"Milk, 1%",
"Milk, 2%",
"Milk, Whole",
"Milk, buttermilk, dried",
"Milk, buttermilk, fluid, cultured, lowfat",
"Milk, buttermilk, fluid, cultured, reduced fat",
"Milk, buttermilk, fluid, whole",
"Milk, canned, condensed, sweetened",
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",
"Milk, canned, evaporated, with added vitamin A",
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",
"Milk, chocolate beverage, hot cocoa, homemade",
"Milk, chocolate, fat free, with added vitamin A and vitamin D",
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",
"Milk, chocolate, lowfat, reduced sugar",
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",
"Milk, dry, nonfat, calcium reduced",
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",
"Milk, dry, whole, with added vitamin D",
"Milk, dry, whole, without added vitamin D",
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",
"Milk, filled, fluid, with lauric acid oil",
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",
"Milk, goat, fluid, with added vitamin D",
"Milk, human, mature, fluid",
"Milk, imitation, non-soy",
"Milk, indian buffalo, fluid",
"Milk, low sodium, fluid",
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",
"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",
"Milk, producer, fluid, 3.7% milkfat",
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",
"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",
"Milk, sheep, fluid",
"Milk, skim",
"Milk, whole, 3.25% milkfat, with added vitamin D",
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",
Millet flour,
"Millet, cooked",
"Millet, puffed",
"Millet, raw",
"Millet, whole grain",
Miso,
"Mission Figs, Dried, Region 1, n/a, No, Pantothenic Acid",
"Mission Figs, Dried, Region 2, n/a, Yes, Amino Acids  - N",
"Mission Figs, Dried, Region 2, n/a, Yes, Carotenoids  - N",
"Mission Figs, Dried, Region 2, n/a, Yes, Pantothenic Acid",
"Mission Figs, Dried, Region 3, n/a, Yes, Amino Acids  - N",
"Mission Figs, Dried, Region 3, n/a, Yes, Carotenoids  - N",
"Mission Figs, Dried, Region 3, n/a, Yes, Pantothenic Acid",
"Mission Figs, Dried, Region 4, n/a, No, Pantothenic Acid",
"Monterey jack cheese, block",
"Mothbeans, mature seeds, cooked, boiled",
"Mothbeans, mature seeds, raw",
"Mountain yam, hawaii, cooked, steamed",
"Mountain yam, hawaii, raw",
"Mouse nuts, roots (Alaska Native)",
"Mouse nuts, seedlings (Alaska Native)",
"Mulberries, raw",
"Mung beans, mature seeds, cooked, boiled, with salt",
"Mung beans, mature seeds, cooked, boiled, without salt",
"Mung beans, mature seeds, raw",
"Mung beans, mature seeds, sprouted, cooked, boiled, drained",
"Mung beans, mature seeds, sprouted, cooked, stir-fried",
"Mung beans, mature seeds, sprouted, raw",
"Mungo beans, mature seeds, cooked, boiled, with salt",
"Mungo beans, mature seeds, cooked, boiled, without salt",
"Mungo beans, mature seeds, raw",
"Mush, blue corn with ash (Navajo)",
"Mushroom, beech",
"Mushroom, crimini",
"Mushroom, enoki",
"Mushroom, king oyster",
"Mushroom, lion's mane",
"Mushroom, maitake",
"Mushroom, oyster",
"Mushroom, pioppini",
"Mushroom, portabella",
"Mushroom, white, exposed to ultraviolet light, raw",
"Mushrooms, Chanterelle, raw",
"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",
"Mushrooms, brown, italian, or crimini, raw",
"Mushrooms, canned, drained solids",
"Mushrooms, crimini",
"Mushrooms, enoki",
"Mushrooms, enoki, raw",
"Mushrooms, hon-shimiji (beech), white",
"Mushrooms, king oyster",
"Mushrooms, maitake",
"Mushrooms, maitake, raw",
"Mushrooms, morel, raw",
"Mushrooms, oyster, raw",
"Mushrooms, pioppini",
"Mushrooms, portabella",
"Mushrooms, portabella, exposed to ultraviolet light, grilled",
"Mushrooms, portabella, exposed to ultraviolet light, raw",
"Mushrooms, portabella, grilled",
"Mushrooms, portabella, raw",
"Mushrooms, shiitake",
"Mushrooms, shiitake, cooked",
"Mushrooms, shiitake, dried",
"Mushrooms, shiitake, raw",
"Mushrooms, shiitake, stir-fried",
"Mushrooms, straw, canned, drained solids",
"Mushrooms, white button",
"Mushrooms, white, cooked, boiled, drained",
"Mushrooms, white, microwaved",
"Mushrooms, white, raw",
"Mushrooms, white, stir-fried",
"Mustard greens, cooked, boiled, drained",
"Mustard greens, frozen, cooked, boiled, drained",
"Mustard greens, frozen, unprepared",
"Mustard greens, raw",
"Mustard spinach, (tendergreen), cooked, boiled, drained",
"Mustard spinach, (tendergreen), raw",
"Mustard, prepared, yellow",
"Mutton, cooked, roasted (Navajo)",
"Nance, canned, syrup, drained",
"Nance, frozen, unsweetened",
"Naranjilla (lulo) pulp, frozen, unsweetened",
Natto,
"Nectarines, raw",
"New Zealand spinach, cooked, boiled, drained",
"New Zealand spinach, raw",
"Noodles, chinese, cellophane or long rice (mung beans), dehydrated",
"Noodles, chinese, chow mein",
"Noodles, egg, cooked, enriched, with added salt",
"Noodles, egg, cooked, unenriched, with added salt",
"Noodles, egg, dry, enriched",
"Noodles, egg, dry, unenriched",
"Noodles, egg, enriched, cooked",
"Noodles, egg, spinach, enriched, cooked",
"Noodles, egg, spinach, enriched, dry",
"Noodles, egg, unenriched, cooked, without added salt",
"Noodles, flat, crunchy, Chinese restaurant",
"Noodles, japanese, soba, cooked",
"Noodles, japanese, soba, dry",
"Noodles, japanese, somen, cooked",
"Noodles, japanese, somen, dry",
"Nopales, cooked, without salt",
"Nopales, raw",
"Nutritional supplement for people with diabetes, liquid",
"Nuts, acorn flour, full fat",
"Nuts, acorns, dried",
"Nuts, acorns, raw",
"Nuts, almond butter, plain",
"Nuts, almond paste",
"Nuts, almonds",
"Nuts, almonds, blanched",
"Nuts, almonds, dry roasted",
"Nuts, almonds, dry roasted, with salt added",
"Nuts, almonds, honey roasted, unblanched",
"Nuts, almonds, oil roasted",
"Nuts, almonds, oil roasted, lightly salted",
"Nuts, almonds, oil roasted, with salt added, smoke flavor",
"Nuts, almonds, raw, whole",
"Nuts, almonds, whole, raw",
"Nuts, beechnuts, dried",
"Nuts, brazilnuts, dried, unblanched",
"Nuts, brazilnuts, raw",
"Nuts, butternuts, dried",
"Nuts, cashew butter, plain",
"Nuts, cashew nuts, dry roasted",
"Nuts, cashew nuts, oil roasted",
"Nuts, cashew nuts, raw",
"Nuts, chestnuts, chinese, boiled and steamed",
"Nuts, chestnuts, chinese, dried",
"Nuts, chestnuts, chinese, raw",
"Nuts, chestnuts, chinese, roasted",
"Nuts, chestnuts, european, boiled and steamed",
"Nuts, chestnuts, european, dried, peeled",
"Nuts, chestnuts, european, dried, unpeeled",
"Nuts, chestnuts, european, raw, peeled",
"Nuts, chestnuts, european, raw, unpeeled",
"Nuts, chestnuts, european, roasted",
"Nuts, chestnuts, japanese, boiled and steamed",
"Nuts, chestnuts, japanese, dried",
"Nuts, chestnuts, japanese, raw",
"Nuts, chestnuts, japanese, roasted",
"Nuts, coconut cream, canned, sweetened",
"Nuts, coconut water (liquid from coconuts)",
